_id	dataset	WorkerId	content	phrasing
5d654901ce2c6bd733475b8d	benevolent	0	2	3
5d654901ce2c6bd733475b8d	benevolent	1	6	3
5d654901ce2c6bd733475b8d	benevolent	2	6	3
5d654901ce2c6bd733475b8d	benevolent	3	6	3
5d654901ce2c6bd733475b8d	benevolent	4	6	3
5d654901ce2c6bd733475b8e	benevolent	1	2	3
5d654901ce2c6bd733475b8e	benevolent	0	1	3
5d654901ce2c6bd733475b8e	benevolent	2	2	3
5d654901ce2c6bd733475b8e	benevolent	5	2	3
5d654901ce2c6bd733475b8e	benevolent	3	2	3
5d654901ce2c6bd733475b8f	benevolent	6	6	3
5d654901ce2c6bd733475b8f	benevolent	2	6	3
5d654901ce2c6bd733475b8f	benevolent	7	6	3
5d654901ce2c6bd733475b8f	benevolent	3	6	3
5d654901ce2c6bd733475b8f	benevolent	4	6	3
5d654901ce2c6bd733475b90	benevolent	1	6	3
5d654901ce2c6bd733475b90	benevolent	8	5	3
5d654901ce2c6bd733475b90	benevolent	9	6	3
5d654901ce2c6bd733475b90	benevolent	10	6	3
5d654901ce2c6bd733475b90	benevolent	11	1	3
5d654901ce2c6bd733475b91	benevolent	6	6	3
5d654901ce2c6bd733475b91	benevolent	12	6	3
5d654901ce2c6bd733475b91	benevolent	2	2	3
5d654901ce2c6bd733475b91	benevolent	3	6	3
5d654901ce2c6bd733475b91	benevolent	11	2	3
5d654901ce2c6bd733475b92	benevolent	2	6	3
5d654901ce2c6bd733475b92	benevolent	8	6	3
5d654901ce2c6bd733475b92	benevolent	12	6	3
5d654901ce2c6bd733475b92	benevolent	3	6	3
5d654901ce2c6bd733475b92	benevolent	11	2	3
5d654901ce2c6bd733475b93	benevolent	1	6	3
5d654901ce2c6bd733475b93	benevolent	2	6	3
5d654901ce2c6bd733475b93	benevolent	12	6	3
5d654901ce2c6bd733475b93	benevolent	3	6	3
5d654901ce2c6bd733475b93	benevolent	11	6	3
5d654901ce2c6bd733475b94	benevolent	2	6	3
5d654901ce2c6bd733475b94	benevolent	1	6	3
5d654901ce2c6bd733475b94	benevolent	13	6	3
5d654901ce2c6bd733475b94	benevolent	3	6	3
5d654901ce2c6bd733475b94	benevolent	5	6	3
5d654901ce2c6bd733475b95	benevolent	7	6	3
5d654901ce2c6bd733475b95	benevolent	2	5	3
5d654901ce2c6bd733475b95	benevolent	6	6	3
5d654901ce2c6bd733475b95	benevolent	4	6	3
5d654901ce2c6bd733475b95	benevolent	3	6	3
5d654901ce2c6bd733475b96	benevolent	9	6	3
5d654901ce2c6bd733475b96	benevolent	12	6	3
5d654901ce2c6bd733475b96	benevolent	0	6	3
5d654901ce2c6bd733475b96	benevolent	3	6	3
5d654901ce2c6bd733475b96	benevolent	11	6	3
5d654901ce2c6bd733475b97	benevolent	12	6	3
5d654901ce2c6bd733475b97	benevolent	13	6	3
5d654901ce2c6bd733475b97	benevolent	0	6	3
5d654901ce2c6bd733475b97	benevolent	11	5	3
5d654901ce2c6bd733475b97	benevolent	4	6	3
5d654901ce2c6bd733475b98	benevolent	14	6	3
5d654901ce2c6bd733475b98	benevolent	12	6	3
5d654901ce2c6bd733475b98	benevolent	2	6	3
5d654901ce2c6bd733475b98	benevolent	3	6	3
5d654901ce2c6bd733475b98	benevolent	10	6	3
5d654901ce2c6bd733475b99	benevolent	6	3	3
5d654901ce2c6bd733475b99	benevolent	12	6	3
5d654901ce2c6bd733475b99	benevolent	7	6	3
5d654901ce2c6bd733475b99	benevolent	3	6	3
5d654901ce2c6bd733475b99	benevolent	11	3	3
5d654901ce2c6bd733475b9a	benevolent	0	2	3
5d654901ce2c6bd733475b9a	benevolent	7	6	3
5d654901ce2c6bd733475b9a	benevolent	2	1	3
5d654901ce2c6bd733475b9a	benevolent	4	6	3
5d654901ce2c6bd733475b9a	benevolent	3	6	3
5d654901ce2c6bd733475b9b	benevolent	12	6	3
5d654901ce2c6bd733475b9b	benevolent	0	6	3
5d654901ce2c6bd733475b9b	benevolent	13	6	3
5d654901ce2c6bd733475b9b	benevolent	5	6	3
5d654901ce2c6bd733475b9b	benevolent	3	6	3
5d654901ce2c6bd733475b9c	benevolent	2	1	3
5d654901ce2c6bd733475b9c	benevolent	7	2	3
5d654901ce2c6bd733475b9c	benevolent	12	2	3
5d654901ce2c6bd733475b9c	benevolent	10	2	3
5d654901ce2c6bd733475b9c	benevolent	3	6	3
5d654901ce2c6bd733475b9d	benevolent	8	2	3
5d654901ce2c6bd733475b9d	benevolent	12	6	3
5d654901ce2c6bd733475b9d	benevolent	6	5	3
5d654901ce2c6bd733475b9d	benevolent	3	6	3
5d654901ce2c6bd733475b9d	benevolent	11	2	3
5d654901ce2c6bd733475b9e	benevolent	12	6	3
5d654901ce2c6bd733475b9e	benevolent	1	2	3
5d654901ce2c6bd733475b9e	benevolent	2	6	3
5d654901ce2c6bd733475b9e	benevolent	3	6	3
5d654901ce2c6bd733475b9e	benevolent	11	1	3
5d654901ce2c6bd733475b9f	benevolent	7	6	3
5d654901ce2c6bd733475b9f	benevolent	2	6	2
5d654901ce2c6bd733475b9f	benevolent	0	2	3
5d654901ce2c6bd733475b9f	benevolent	15	6	3
5d654901ce2c6bd733475b9f	benevolent	3	6	3
5d654901ce2c6bd733475ba0	benevolent	12	1	3
5d654901ce2c6bd733475ba0	benevolent	7	1	3
5d654901ce2c6bd733475ba0	benevolent	1	2	3
5d654901ce2c6bd733475ba0	benevolent	3	6	3
5d654901ce2c6bd733475ba0	benevolent	5	2	3
5d654901ce2c6bd733475ba1	benevolent	11	5	3
5d654901ce2c6bd733475ba1	benevolent	3	6	3
5d654901ce2c6bd733475ba1	benevolent	16	2	1
5d654901ce2c6bd733475ba1	benevolent	17	2	3
5d654901ce2c6bd733475ba1	benevolent	18	6	3
5d654901ce2c6bd733475ba2	benevolent	3	2	3
5d654901ce2c6bd733475ba2	benevolent	7	6	3
5d654901ce2c6bd733475ba2	benevolent	0	6	3
5d654901ce2c6bd733475ba2	benevolent	17	2	3
5d654901ce2c6bd733475ba2	benevolent	18	5	3
5d654901ce2c6bd733475ba3	benevolent	11	2	3
5d654901ce2c6bd733475ba3	benevolent	3	6	3
5d654901ce2c6bd733475ba3	benevolent	6	6	3
5d654901ce2c6bd733475ba3	benevolent	19	4	3
5d654901ce2c6bd733475ba3	benevolent	18	5	3
5d654901ce2c6bd733475ba4	benevolent	3	6	3
5d654901ce2c6bd733475ba4	benevolent	11	2	3
5d654901ce2c6bd733475ba4	benevolent	6	2	3
5d654901ce2c6bd733475ba4	benevolent	4	6	3
5d654901ce2c6bd733475ba4	benevolent	20	1	3
5d654901ce2c6bd733475ba5	benevolent	7	6	3
5d654901ce2c6bd733475ba5	benevolent	3	2	3
5d654901ce2c6bd733475ba5	benevolent	0	2	3
5d654901ce2c6bd733475ba5	benevolent	19	2	3
5d654901ce2c6bd733475ba5	benevolent	18	3	3
5d654901ce2c6bd733475ba6	benevolent	6	2	1
5d654901ce2c6bd733475ba6	benevolent	3	2	1
5d654901ce2c6bd733475ba6	benevolent	14	1	1
5d654901ce2c6bd733475ba6	benevolent	5	2	1
5d654901ce2c6bd733475ba6	benevolent	4	6	2
5d654901ce2c6bd733475ba7	benevolent	3	2	3
5d654901ce2c6bd733475ba7	benevolent	0	2	3
